collision_date,NUM_COLLISIONS
2023-03-24,246
2023-03-25,226
2023-03-26,284
2023-03-27,264
2023-03-28,246
2023-03-29,274
2023-03-30,293
2023-03-31,256
2023-04-01,278
2023-04-02,246
2023-04-03,260
2023-04-04,302
2023-04-05,276
2023-04-06,226
2023-04-07,210
2023-04-08,223
2023-04-09,210
2023-04-10,218
2023-04-11,209
2023-04-12,234
2023-04-13,237
2023-04-14,287
2023-04-15,242
2023-04-16,222
2023-04-17,255
2023-04-18,237
2023-04-19,273
2023-04-20,287
2023-04-21,312
2023-04-22,258
2023-04-23,269
2023-04-24,302
2023-04-25,257
2023-04-26,285
2023-04-27,237
2023-04-28,305
2023-04-29,327
2023-04-30,284
2023-05-01,261
2023-05-02,244
2023-05-03,262
2023-05-04,287
2023-05-05,301
2023-05-06,346
2023-05-07,291
2023-05-08,300
2023-05-09,298
2023-05-10,267
2023-05-11,289
2023-05-12,369
2023-05-13,298
2023-05-14,289
2023-05-15,265
2023-05-16,286
2023-05-17,330
2023-05-18,320
2023-05-19,313
2023-05-20,300
2023-05-21,283
2023-05-22,286
2023-05-23,270
2023-05-24,274
2023-05-25,296
2023-05-26,296
2023-05-27,300
2023-05-28,267
2023-05-29,250
2023-05-30,286
2023-05-31,266
2023-06-01,335
2023-06-02,312
2023-06-03,216
2023-06-04,256
2023-06-05,253
2023-06-06,268
2023-06-07,259
2023-06-08,233
2023-06-09,287
2023-06-10,291
2023-06-11,251
2023-06-12,289
2023-06-13,274
2023-06-14,289
2023-06-15,284
2023-06-16,310
2023-06-17,270
2023-06-18,315
2023-06-19,261
2023-06-20,280
2023-06-21,268
2023-06-22,229
2023-06-23,255
2023-06-24,285
2023-06-25,288
2023-06-26,288
2023-06-27,272
2023-06-28,241
2023-06-29,262
2023-06-30,266
2023-07-01,230
2023-07-02,245
2023-07-03,274
2023-07-04,229
2023-07-05,278
2023-07-06,263
2023-07-07,269
2023-07-08,245
2023-07-09,242
2023-07-10,264
2023-07-11,276
2023-07-12,281
2023-07-13,283
2023-07-14,272
2023-07-15,251
2023-07-16,284
2023-07-17,310
2023-07-18,246
2023-07-19,228
2023-07-20,283
2023-07-21,323
2023-07-22,282
2023-07-23,248
2023-07-24,248
2023-07-25,301
2023-07-26,269
2023-07-27,242
2023-07-28,287
2023-07-29,270
2023-07-30,256
2023-07-31,260
2023-08-01,281
2023-08-02,255
2023-08-03,261
2023-08-04,272
2023-08-05,261
2023-08-06,268
2023-08-07,245
2023-08-08,240
2023-08-09,260
2023-08-10,291
2023-08-11,274
2023-08-12,301
2023-08-13,273
2023-08-14,270
2023-08-15,254
2023-08-16,261
2023-08-17,202
2023-08-18,296
2023-08-19,273
2023-08-20,261
2023-08-21,254
2023-08-22,231
2023-08-23,222
2023-08-24,236
2023-08-25,244
2023-08-26,253
2023-08-27,249
2023-08-28,233
2023-08-29,223
2023-08-30,257
2023-08-31,311
2023-09-01,289
2023-09-02,283
2023-09-03,259
2023-09-04,265
2023-09-05,285
2023-09-06,292
2023-09-07,305
2023-09-08,260
2023-09-09,269
2023-09-10,242
2023-09-11,293
2023-09-12,281
2023-09-13,260
2023-09-14,305
2023-09-15,273
2023-09-16,289
2023-09-17,213
2023-09-18,279
2023-09-19,285
2023-09-20,286
2023-09-21,282
2023-09-22,284
2023-09-23,257
2023-09-24,279
2023-09-25,236
2023-09-26,272
2023-09-27,293
2023-09-28,306
2023-09-29,318
2023-09-30,248
2023-10-01,245
2023-10-02,275
2023-10-03,313
2023-10-04,284
2023-10-05,290
2023-10-06,307
2023-10-07,270
2023-10-08,225
2023-10-09,195
2023-10-10,282
2023-10-11,280
2023-10-12,274
2023-10-13,311
2023-10-14,282
2023-10-15,285
2023-10-16,291
2023-10-17,273
2023-10-18,252
2023-10-19,315
2023-10-20,340
2023-10-21,285
2023-10-22,263
2023-10-23,283
2023-10-24,262
2023-10-25,291
2023-10-26,299
2023-10-27,280
2023-10-28,355
2023-10-29,247
2023-10-30,284
2023-10-31,274
2023-11-01,257
2023-11-02,232
2023-11-03,296
2023-11-04,239
