"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","visib","wdsp","mxpsd","gust","prcp","fog","NUM_COLLISIONS"
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2021,47.2,45.6,7.4,6.9,999.9,999.9,0,0,268
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2021,51.9,50.6,5.7,9.1,999.9,999.9,0,1,257
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2021,51.3,51.3,0.5,14.4,20,28.9,0,1,336
"83",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2021,49.9,40.6,9.5,11,999.9,999.9,0,0,325
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2021,47.9,35.9,9.3,17.6,53,999.9,0,1,240
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2021,43.7,35.5,10,6.7,999.9,999.9,0,0,281
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2021,51.3,48.1,9.9,11.9,999.9,999.9,0,0,284
"87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,48.2,47.6,4.5,12.6,999.9,999.9,0,1,263
"88",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,37.1,25.3,9.4,10.8,15.9,20,0,0,283
"89",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,36.6,23.4,9.8,8.9,999.9,999.9,0,0,281
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,46.3,30.8,10,10.6,999.9,999.9,0,0,259
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,45.9,36.2,10,12.9,999.9,999.9,0,0,268
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,47.5,39,10,13.1,53,999.9,0,0,318
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,50.2,43.4,8.9,11.3,999.9,999.9,0,0,303
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,47,42.7,10,10.4,20,22.9,0,0,310
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,47.6,43.2,7.3,6.1,12,999.9,0,1,281
"96",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,44.4,43.1,3.6,8.4,14,999.9,0,1,294
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,48.2,47.3,2.4,10.4,20,21,0,1,215
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,45.3,39.7,9.5,14.2,21,28,0,0,264
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,45.5,39.2,9.8,15.2,24.1,31.1,0,0,321
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,46.1,37.9,10,7.1,11.1,999.9,0,0,295
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,43.8,37.3,10,10.4,18.1,22.9,0,0,270
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,43.8,40.8,6.8,19.3,28,38.1,0.64,0,298
"103",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,42,37.1,9,16.2,21,31.1,0.18,0,265
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,47.2,38.8,10,8.2,15,18.1,0.11,0,258
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,50.9,43.1,10,8.1,11.1,999.9,0,0,320
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,50.3,44.5,8.2,8.9,15.9,999.9,0,1,313
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,53.4,48.6,9.8,13.5,17.1,999.9,0,0,283
