day,collision_date,NUM_COLLISIONS
4,2015-11-12,637
5,2015-10-30,688
1,2015-10-12,505
3,2015-10-28,689
2,2015-09-08,795
3,2015-09-30,634
5,2015-09-04,643
2,2015-08-11,601
5,2015-08-28,609
4,2017-11-02,746
7,2017-10-08,521
4,2017-10-05,657
7,2017-08-13,563
6,2017-06-17,654
3,2017-05-17,753
5,2012-09-07,680
4,2012-09-06,572
2,2012-08-07,547
7,2012-08-05,518
7,2012-07-15,494
1,2012-08-06,593
7,2022-10-09,243
5,2020-06-12,277
4,2020-02-20,448
1,2020-02-03,559
3,2020-01-15,508
2,2019-08-20,574
6,2019-09-14,488
5,2024-02-09,290
3,2015-08-05,619
3,2015-07-15,611
1,2015-05-25,420
7,2015-06-14,578
1,2015-06-01,691
2,2015-05-05,638
6,2015-05-16,650
7,2015-04-26,477
2,2015-04-21,645
4,2015-04-16,560
3,2015-03-18,547
4,2015-02-05,569
5,2015-02-13,757
7,2015-02-22,519
6,2017-04-29,661
1,2017-02-06,568
5,2017-03-24,654
2,2017-03-07,637
1,2017-03-06,618
6,2017-02-04,541
4,2016-12-01,734
5,2016-11-04,777
1,2019-09-09,603
2,2019-08-06,551
6,2019-07-06,471
6,2019-07-13,558
2,2016-10-11,739
2,2016-08-30,622
7,2016-08-07,540
4,2019-02-28,699
2,2019-01-08,571
3,2019-01-09,514
2,2018-12-04,684
6,2018-11-10,606
2,2015-01-13,613
1,2014-12-08,579
6,2014-11-29,394
3,2014-12-03,569
4,2014-12-11,669
7,2014-11-09,419
5,2014-08-08,601
1,2014-10-20,591
5,2014-10-10,541
3,2014-10-15,575
7,2014-10-19,483
7,2014-09-21,515
1,2014-09-08,598
1,2014-09-22,662
4,2014-09-25,491
7,2014-09-14,528
1,2014-08-25,549
7,2014-07-27,476
2,2014-07-08,594
3,2014-06-25,646
3,2014-05-28,538
6,2014-03-15,519
2,2014-02-11,636
3,2014-02-19,552
3,2014-02-05,468
5,2013-12-27,476
5,2013-11-15,617
6,2013-10-26,626
3,2018-10-24,719
5,2018-10-12,830
2,2018-10-09,628
7,2018-10-07,529
2,2018-07-24,654
3,2018-07-04,406
3,2018-06-06,651
7,2018-06-03,525
7,2021-04-18,258
1,2021-05-17,320
4,2021-06-10,370
6,2021-06-12,327
4,2022-04-07,283
5,2021-09-10,352
2,2021-12-14,322
2,2022-05-03,282
6,2022-04-30,321
3,2013-08-28,482
2,2013-09-03,551
5,2013-08-09,579
5,2013-08-02,626
7,2013-07-14,471
4,2013-07-11,550
6,2013-06-15,596
7,2013-06-02,487
2,2013-05-14,565
2,2013-04-09,613
1,2016-08-15,643
2,2016-06-14,717
3,2016-04-27,510
4,2016-02-18,592
5,2016-01-29,645
5,2018-04-13,755
1,2018-02-12,543
6,2018-01-06,599
6,2017-12-23,565
6,2021-02-20,257
3,2020-11-18,295
1,2020-10-26,314
2,2020-07-21,331
1,2013-02-18,398
4,2013-02-21,498
4,2013-01-31,592
1,2012-12-17,649
4,2012-12-13,545
2,2012-11-20,671
4,2012-12-06,620
2,2012-08-28,587
6,2012-10-13,547
3,2012-10-17,615
3,2012-11-07,718
4,2012-09-27,620
3,2012-10-03,502
2,2015-12-22,699
3,2015-12-16,673
1,2015-12-07,668
1,2015-11-09,615
5,2015-10-16,676
5,2015-09-11,765
5,2017-09-08,740
2,2017-09-05,707
2,2017-08-01,705
4,2017-05-25,742
5,2012-10-05,693
2,2012-09-04,606
5,2022-09-23,322
5,2022-05-27,315
6,2022-11-19,319
4,2023-06-29,262
1,2023-07-10,264
6,2022-12-24,267
1,2023-04-03,260
6,2020-04-25,152
1,2020-03-30,164
7,2020-03-08,408
2,2020-01-21,556
2,2019-12-31,443
6,2019-10-05,557
2,2019-09-03,652
5,2023-12-01,330
5,2024-01-12,299
4,2015-06-11,666
3,2015-05-13,655
1,2015-05-04,641
4,2015-05-14,654
1,2015-03-23,586
1,2015-04-06,510
5,2015-04-17,679
4,2015-04-09,452
5,2015-03-06,939
4,2015-03-12,586
1,2015-01-26,484
4,2015-02-19,515
5,2015-02-06,652
5,2015-01-30,622
4,2017-03-30,639
3,2017-01-11,629
5,2017-01-20,605
7,2016-12-18,521
5,2016-11-18,776
2,2019-09-10,605
2,2019-05-28,654
1,2019-04-29,565
7,2019-03-10,462
4,2016-08-25,659
7,2016-07-24,566
6,2019-02-16,535
1,2018-12-10,651
1,2018-12-17,689
7,2018-12-09,465
3,2018-11-21,732
7,2018-11-18,470
4,2018-11-08,631
5,2018-11-02,746
4,2015-01-08,573
5,2014-11-14,654
3,2014-10-29,556
3,2014-11-19,633
1,2014-10-27,642
3,2014-08-13,572
1,2014-07-28,595
2,2014-07-22,587
3,2014-07-02,658
5,2014-06-06,743
7,2014-05-04,451
2,2014-04-15,452
5,2014-04-25,617
5,2014-04-11,609
4,2014-03-20,627
4,2013-10-24,632
7,2013-10-13,502
5,2018-10-26,747
6,2018-06-16,677
5,2018-06-01,751
5,2018-06-15,728
7,2021-05-09,266
2,2021-05-18,374
1,2021-12-20,292
4,2022-04-14,331
1,2022-02-14,305
1,2013-09-23,661
4,2013-09-19,536
6,2013-09-14,519
3,2013-09-11,576
7,2013-10-06,404
4,2013-07-25,507
2,2013-07-30,584
2,2013-07-16,582
5,2013-05-24,668
7,2013-06-09,533
6,2013-04-06,531
7,2016-06-19,559
7,2016-05-08,591
7,2016-04-03,585
4,2016-03-17,612
7,2016-02-28,509
5,2016-01-22,702
1,2016-02-08,501
5,2016-02-05,607
2,2016-02-02,711
3,2018-04-25,626
5,2018-03-23,732
6,2018-01-13,603
7,2017-11-12,539
7,2022-05-22,319
3,2022-07-27,287
1,2022-06-13,319
4,2021-02-25,269
5,2020-10-30,394
6,2020-10-24,301
4,2020-09-17,322
3,2020-06-24,300
4,2020-08-06,356
3,2020-07-29,318
5,2020-07-17,308
5,2020-08-14,344
1,2013-04-08,582
7,2013-04-14,472
6,2012-11-24,458
7,2013-01-13,373
3,2013-01-09,487
3,2013-01-02,480
6,2012-12-01,480
1,2012-10-22,609
1,2012-10-08,376
4,2012-10-04,554
4,2016-02-04,609
4,2015-12-31,527
5,2016-01-08,602
1,2016-01-11,680
7,2015-10-11,559
5,2015-09-18,760
4,2015-09-17,744
2,2015-09-01,626
5,2015-08-21,753
4,2015-07-23,623
4,2017-08-03,713
5,2017-07-28,685
7,2017-05-28,474
7,2012-09-09,464
2,2012-08-21,482
7,2012-07-22,498
2,2022-09-06,340
3,2022-09-14,308
2,2022-11-01,279
7,2022-12-04,255
5,2022-12-23,311
3,2023-07-26,269
4,2019-12-19,699
5,2020-02-28,530
3,2023-03-29,274
3,2023-04-05,276
1,2024-02-05,259
6,2024-01-27,243
4,2015-08-06,630
6,2015-05-23,546
5,2015-06-05,692
7,2015-05-03,555
4,2015-05-07,684
5,2015-04-10,486
6,2015-04-11,576
1,2015-03-02,650
7,2015-03-22,432
2,2015-02-10,571
1,2015-02-09,547
6,2015-02-14,436
7,2015-02-01,361
2,2015-02-24,580
3,2017-04-26,630
3,2017-03-22,617
4,2017-02-23,581
2,2017-01-17,657
4,2019-08-08,646
5,2019-04-12,688
1,2019-04-01,602
4,2019-03-21,624
2,2019-03-26,610
3,2016-11-02,665
5,2016-09-02,697
6,2014-12-27,406
4,2014-12-25,303
1,2014-12-22,566
2,2015-01-06,777
4,2014-12-18,621
3,2014-11-12,546
5,2014-10-31,668
2,2014-11-04,538
4,2014-09-18,650
6,2014-09-06,553
3,2014-09-03,580
2,2014-09-09,592
2,2014-08-05,606
4,2014-06-12,563
3,2014-07-16,551
7,2014-07-13,439
2,2014-05-13,560
1,2014-04-28,597
7,2014-04-27,449
6,2014-03-29,569
6,2014-01-04,418
3,2013-12-25,257
7,2013-12-01,420
