"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","visib","wdsp","mxpsd","gust","prcp","max","min","fog","NUM_COLLISIONS"
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2015,70.8,62.5,8.2,9.4,18.1,28,0.21,79,59,1,778
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2015,68.7,57.9,10,7.4,11.1,999.9,0,79,62.1,0,670
"163",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2015,66,60.5,9.9,7.9,15,999.9,0,77,61,0,774
"164",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2015,61.5,55.4,9.2,8.4,12,999.9,0,72,54,1,595
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2015,64.4,61.6,4.3,13,28.9,42.9,0.03,71.1,54,1,535
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2015,64.3,59.4,7.4,9.7,15.9,999.9,0.11,71.1,57,1,662
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2015,67.1,61.8,9.3,7.1,9.9,999.9,0,73.9,57,0,622
"168",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,65.5,62.2,6.5,10.4,15,28.9,0,72,61,1,683
"169",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,68.7,62.5,7.1,7,12,999.9,0,77,61,0,603
"170",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,68.3,58.3,7.6,5.8,17.1,999.9,0,77,61,1,549
"171",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,65.8,59.5,9.3,8.2,15,999.9,0,73.9,55,0,467
"172",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,69.2,64.4,8.8,8.2,14,999.9,0,78.1,55,0,598
"173",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,68.1,64.3,7.4,8.2,11.1,999.9,0,78.1,62.1,0,646
