"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","max","min","fog","NUM_COLLISIONS"
"219",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,73.9,82,70,1,581
"220",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,73.4,82,69.1,1,492
"221",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,71.7,81,68,1,575
"222",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,72.8,81,66.9,0,595
"223",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,73.8,81,68,0,606
"224",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,72.3,81,62.1,0,614
"225",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,71.4,80.1,62.1,0,609
"226",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,70.3,80.1,62.1,0,539
"227",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,72.6,80.1,63,0,563
"228",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,74.8,82,66.9,0,614
"229",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2015,74.6,82,64.9,0,626
"230",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,66,81,61,1,654
"231",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2015,74.5,81,69.1,0,665
"232",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2015,70.6,75,64,1,643
"233",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2015,66.8,73,54,0,541
"234",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2015,66.6,72,50,0,504
"235",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2015,73,79,64,0,485
"236",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2015,76.4,81,70,0,795
